"Ticker","Nome","Negócios","Última (R$)","Variação"
"TOTS3","Totvs","2.163.700","41,80","-1,60%"
"AZEV4","Azevedo & Travassos","2.161.600","0,55","-1,79%"
"ALPA4","Alpargatas","2.150.200","8,65","-8,27%"
"LIGT3","Light","2.043.700","6,48","-7,69%"
"YDUQ3","YDUQS","2.036.500","16,22","-2,35%"
"LJQQ3","Lojas Quero-Quero","2.032.800","2,49","-3,49%"
"CASH3","Méliuz","2.029.200","6,84","-3,39%"
"TEND3","Construtora Tenda","2.020.700","23,57","-4,57%"
"ISAE4","ISA Energia","2.010.900","22,91","-0,82%"
"DIRR3","Direcional","1.992.400","39,88","-3,39%"
"MEAL3","IMC Alimentação","1.955.600","1,17","-0,85%"
"TTEN3","3tentos","1.891.700","14,81","-1,99%"
"CSMG3","COPASA","1.851.700","28,20","+1,08%"
"TAEE11","Taesa","1.670.900","34,50","-1,63%"
"BLAU3","Blau Farmacêutica","1.467.200","12,46","-6,60%"
"PDGR3","PDG Realty","1.442.900","0,26","-7,14%"
"EGIE3","Engie","1.420.100","46,72","+1,57%"
"QUAL3","Qualicorp","1.335.200","1,80","-2,70%"
"PRNR3","Priner","1.288.500","15,16","-0,52%"
"MYPK3","Iochpe-Maxion","1.247.500","12,98","-4,49%"
"DXCO3","Dexco","1.245.100","5,66","-0,53%"
"MILS3","Mills","1.196.300","11,20","-0,44%"
"SBFG3","Grupo SBF","1.146.200","11,76","-4,16%"
"GUAR3","Guararapes","1.098.900","8,27","-5,05%"
"CAML3","Camil Alimentos","1.082.300","5,03","-0,79%"
"SAPR11","Sanepar","1.077.500","36,85","-1,02%"
"PORT3","Wilson Sons","1.042.700","17,42","-0,06%"
"ODPV3","Odontoprev","1.038.300","11,72","+0,43%"
"HBOR3","Helbor","1.019.000","2,36","-3,67%"
"PGMN3","Pague Menos","995.300","3,37","-1,17%"
"RANI3","Irani","924.900","7,39","+0,68%"
"MLAS3","Multilaser","917.700","1,06","-1,85%"
"CPFE3","CPFL Energia","902.100","40,28","-0,98%"
"ELET6","Eletrobras","887.400","44,37","-0,80%"
"FRAS3","Fras-le","884.100","26,82","+0,45%"
"NEOE3","Neoenergia","858.800","25,03","-1,88%"
"LAVV3","Lavvi Incorporadora","853.800","12,13","-2,96%"
"PLPL3","Plano&Plano","801.300","15,05","-4,14%"
"POSI3","Positivo","800.800","4,54","-1,52%"
"ABCB4","Banco ABC Brasil","800.000","21,79","-0,50%"
"KEPL3","Kepler Weber","793.800","8,10","-0,86%"
"SYNE3","SYN","778.400","5,85","-4,10%"
"EZTC3","EZTEC","772.500","13,84","-0,22%"
"SAPR4","Sanepar","762.400","7,29","-1,09%"
"BRSR6","Banrisul","762.200","11,59","-0,77%"
"AZEV3","Azevedo & Travassos","755.700","0,45","-2,17%"
"MDIA3","M. Dias Branco","735.900","23,98","-3,11%"
"JALL3","Jalles Machado","710.600","3,80","+0,00%"
"VVEO3","Viveo","699.900","1,17","-2,50%"
"DASA3","Dasa","683.500","1,40","+2,94%"
"ORVR3","Orizon","682.500","52,38","-2,86%"
"TRIS3","Trisul","681.300","6,89","-2,55%"
"EVEN3","Even","643.100","7,20","-3,61%"
